azon;nev;hossz;allomas;ido;vezetes;telepulesid
106;Sárgaliliom tanösvény ;6.2;11;2.5;true;58
107;Sár-hegyi természetismereti tanösvény ;7.0;12;3;true;40
108;Sas-hegy tanösvény ;0.9;7;1;true;14
109;Sáskajárás sétaút ;0.8;8;1;true;15
110;Selyem-réti tanösvény ;1.5;6;2;true;66
111;Sirály tanösvény ;2.0;5;1.5;true;91
112;Sóvirág tanösvény ;0.5;0;1;true;31
113;Sötét-völgyi tanösvény ;4.3;9;2;true;93
114;Strázsa-hegyi tanösvény ;1.2;7;1.5;true;30
115;Szádvár tanösvény ;4.5;12;3;true;97
116;Szalajka-völgyi természetvédelmi bemutatóösvény ;4.2;10;2.5;true;96
117;Szala menti tanösvény ;3.8;9;1.5;true;71
118;Szálkahalmi tanösvény ;1.1;5;1;true;43
119;Szarvaskői geológiai tanösvény ;8.8;11;3.5;true;90
120;Szeremlei-Holt-Duna tanösvény ;2.4;6;1;true;94
121;Szigetközi Ökoturisztikai Bemutató Útvonal ;18.0;12;2;false;29
122;Sziki őszirózsa tanösvény ;4.0;10;2;false;85
123;Szilvás-kői geológiai tanösvény ;3.5;12;1.5;true;83
124;Szinva tanösvény ;4.0;6;3;true;60
125;Szomoróczi tanösvény ;3.0;6;1;true;50
126;Tanösvény a Turjánban ;1.2;9;1;true;66
127;Tarpai Szőlő-hegy tanösvény ;3.0;6;2;false;98
128;Templom-hegyi tanösvény ;2.0;6;1;true;105
129;Pannonhalmi arborétum;1.5;3;0.3;false;75
130;Tisza-tavi vízi sétány és tanösvény ;1.5;4;2;true;80
131;Tohonya-Kuriszlán tanösvény II. útvonal ;9.0;25;6;true;46
132;Tohonya-Kuriszlán tanösvény I. útvonal ;4.5;12;2.5;true;46
133;Tőzike tanösvény ;3.0;5;1;true;19
134;Tüskés-réti tanösvény ;1.0;4;1;true;77
135;Újmohácsi tanösvény ;3.1;7;1;true;61
136;Üde rétek tanösvény ;3.0;5;2;true;10
137;Várdomb tanösvény ;0.3;6;0.5;false;100
138;Vár-hegyi tanösvény ;10.0;6;4.5;true;32
139;Vártúra ösvény ;1.2;0;1;true;42
140;Vár-völgyi földtani tanösvény ;3.0;10;1;true;57
141;Vasút-oldali túraútvonal ;10.0;1;2.5;true;39
142;Vizi Rence Túraútvonal ;6.0;0;3;true;33
143;Vöcsök tanösvény ;3.2;7;2.5;true;74
144;Vörös-mocsár tanösvény ;2.5;2;2;true;21
